population,name,code,region_code,province_code,municipality_code
2189,Adams,1,10,102,10
1079,Bani,1,10,102,10
1669,Buyon,2,10,102,10
1418,Cabaruan,3,10,102,10
733,Cabulalaan,4,10,102,10
1170,Cabusligan,5,10,102,10
1212,Cadaratan,6,10,102,10
827,Calioet-Libong,7,10,102,10
1061,Casilian,8,10,102,10
867,Corocor,9,10,102,10
1036,Duripes,11,10,102,10
701,Ganagan,12,10,102,10
1620,Libtong,13,10,102,10
647,Macupit,14,10,102,10
1004,Nambaran,15,10,102,10
560,Natba,16,10,102,10
435,Paninaan,17,10,102,10
1209,Pasiocan,18,10,102,10
799,Pasngal,19,10,102,10
1047,Pipias,20,10,102,10
1091,Pulangi,21,10,102,10
554,Pungto,22,10,102,10
544,San Agustin I ,24,10,102,10
281,San Agustin II ,25,10,102,10
796,San Andres I ,27,10,102,10
724,San Andres II ,28,10,102,10
294,San Gabriel I ,30,10,102,10
406,San Gabriel II ,31,10,102,10
393,San Pedro I ,33,10,102,10
585,San Pedro II ,34,10,102,10
530,San Roque I ,36,10,102,10
399,San Roque II ,37,10,102,10
637,San Simon I ,39,10,102,10
341,San Simon II ,40,10,102,10
723,San Vicente ,41,10,102,10
1097,Sangil,42,10,102,10
276,Santa Filomena I ,44,10,102,10
344,Santa Filomena II ,45,10,102,10
1119,Santa Rita ,46,10,102,10
422,Santo Cristo I ,47,10,102,10
459,Santo Cristo II ,48,10,102,10
813,Tambidao,50,10,102,10
706,Teppang,51,10,102,10
868,Tubburan,52,10,102,10
1090,Alay-Nangbabaan,1,10,102,10
974,Alogoog,2,10,102,10
808,Ar-arusip,3,10,102,10
1362,Aring,4,10,102,10
302,Balbaldez,5,10,102,10
996,Bato,6,10,102,10
1213,Camanga,7,10,102,10
603,Canaan ,8,10,102,10
1391,Caraitan,9,10,102,10
1680,Gabut Norte,11,10,102,10
894,Gabut Sur,12,10,102,10
1383,Garreta ,13,10,102,10
848,Labut,16,10,102,10
1703,Lacuben,17,10,102,10
1381,Lubigan,18,10,102,10
1125,Mabusag Norte,20,10,102,10
1135,Mabusag Sur,21,10,102,10
848,Madupayas,22,10,102,10
892,Morong,23,10,102,10
528,Nagrebcan,25,10,102,10
1514,Napu,26,10,102,10
1095,La Virgen Milagrosa,27,10,102,10
1170,Pagsanahan Norte,28,10,102,10
1412,Pagsanahan Sur,29,10,102,10
1589,Paltit,30,10,102,10
438,Parang,31,10,102,10
505,Pasuc,32,10,102,10
916,Santa Cruz Norte,34,10,102,10
702,Santa Cruz Sur,35,10,102,10
1325,Saud,36,10,102,10
708,Turod,37,10,102,10
1842,Abaca,1,10,102,10
683,Bacsil,2,10,102,10
777,Banban,3,10,102,10
1742,Baruyen,4,10,102,10
405,Dadaor,5,10,102,10
2017,Lanao,6,10,102,10
