name,population,code,region_code,province_code,city_code
Adams,2189,001,01,028,01
Bani,1079,001,01,028,02
Buyon,1669,002,01,028,02
Cabaruan,1418,003,01,028,02
Cabulalaan,733,004,01,028,02
Cabusligan,1170,005,01,028,02
Cadaratan,1212,006,01,028,02
Calioet-Libong,827,007,01,028,02
Casilian,1061,008,01,028,02
Corocor,867,009,01,028,02
Duripes,1036,011,01,028,02
Ganagan,701,012,01,028,02
Libtong,1620,013,01,028,02
Macupit,647,014,01,028,02
Nambaran,1004,015,01,028,02
Natba,560,016,01,028,02
Paninaan,435,017,01,028,02
Pasiocan,1209,018,01,028,02
Pasngal,799,019,01,028,02
Pipias,1047,020,01,028,02
Pulangi,1091,021,01,028,02
Pungto,554,022,01,028,02
San Agustin I ,544,024,01,028,02
San Agustin II ,281,025,01,028,02
San Andres I ,796,027,01,028,02
San Andres II ,724,028,01,028,02
San Gabriel I ,294,030,01,028,02
San Gabriel II ,406,031,01,028,02
San Pedro I ,393,033,01,028,02
San Pedro II ,585,034,01,028,02
San Roque I ,530,036,01,028,02
San Roque II ,399,037,01,028,02
San Simon I ,637,039,01,028,02
San Simon II ,341,040,01,028,02
San Vicente ,723,041,01,028,02
Sangil,1097,042,01,028,02
Santa Filomena I ,276,044,01,028,02
Santa Filomena II ,344,045,01,028,02
Santa Rita ,1119,046,01,028,02
Santo Cristo I ,422,047,01,028,02
Santo Cristo II ,459,048,01,028,02
Tambidao,813,050,01,028,02
Teppang,706,051,01,028,02
Tubburan,868,052,01,028,02
Alay-Nangbabaan,1090,001,01,028,03
Alogoog,974,002,01,028,03
Ar-arusip,808,003,01,028,03
Aring,1362,004,01,028,03
Balbaldez,302,005,01,028,03
Bato,996,006,01,028,03
Camanga,1213,007,01,028,03
Canaan ,603,008,01,028,03
Caraitan,1391,009,01,028,03
Gabut Norte,1680,011,01,028,03
Gabut Sur,894,012,01,028,03
Garreta ,1383,013,01,028,03
Labut,848,016,01,028,03
Lacuben,1703,017,01,028,03
Lubigan,1381,018,01,028,03
Mabusag Norte,1125,020,01,028,03
Mabusag Sur,1135,021,01,028,03
Madupayas,848,022,01,028,03
Morong,892,023,01,028,03
Nagrebcan,528,025,01,028,03
Napu,1514,026,01,028,03
La Virgen Milagrosa,1095,027,01,028,03
Pagsanahan Norte,1170,028,01,028,03
Pagsanahan Sur,1412,029,01,028,03
Paltit,1589,030,01,028,03
Parang,438,031,01,028,03
Pasuc,505,032,01,028,03
Santa Cruz Norte,916,034,01,028,03
Santa Cruz Sur,702,035,01,028,03
Saud,1325,036,01,028,03
Turod,708,037,01,028,03
Abaca,1842,001,01,028,04
Bacsil,683,002,01,028,04
Banban,777,003,01,028,04
Baruyen,1742,004,01,028,04
Dadaor,405,005,01,028,04
Lanao,2017,006,01,028,04
Malasin,1028,007,01,028,04
Manayon,997,008,01,028,04
Masikil,649,009,01,028,04
Nagbalagan,707,010,01,028,04
Payac,781,011,01,028,04
San Lorenzo ,2261,012,01,028,04
Taguiporo,491,014,01,028,04
Utol,639,015,01,028,04
Aglipay ,1059,001,01,028,05
Baay,3241,002,01,028,05
Baligat,1923,003,01,028,05
Bungon,1546,004,01,028,05
Baoa East,747,005,01,028,05
Baoa West,1404,006,01,028,05
Barani ,636,007,01,028,05
Ben-agan ,714,009,01,028,05
Bil-loca,2780,010,01,028,05
Biningan,468,011,01,028,05
Callaguip ,832,012,01,028,05
Camandingan,1506,013,01,028,05
Camguidan,522,014,01,028,05
Cangrunaan ,721,015,01,028,05
Capacuan,727,016,01,028,05
Caunayan ,1105,017,01,028,05
Valdez Pob.,808,018,01,028,05
Colo,1432,019,01,028,05
Pimentel,1166,020,01,028,05
Dariwdiw,2053,021,01,028,05
Acosta Pob.,1058,022,01,028,05
Ablan Pob.,740,023,01,028,05
Lacub ,422,024,01,028,05
Mabaleng,1162,025,01,028,05
Magnuang,2196,026,01,028,05
Maipalig,456,027,01,028,05
Nagbacalan,1085,028,01,028,05
Naguirangan,1615,029,01,028,05
Ricarte Pob.,765,030,01,028,05
Palongpong,1867,031,01,028,05
Palpalicong ,828,032,01,028,05
Parangopong,1253,033,01,028,05
Payao,1457,034,01,028,05
Quiling Norte,1528,035,01,028,05
Quiling Sur,3267,036,01,028,05
Quiom,884,037,01,028,05
Rayuray,1062,038,01,028,05
San Julian ,465,039,01,028,05
San Mateo,1135,040,01,028,05
San Pedro,898,041,01,028,05
Suabit ,1209,042,01,028,05
Sumader,1387,043,01,028,05
Tabug,3355,044,01,028,05
Ablan Sarat,1518,001,01,028,06
Agaga,609,002,01,028,06
Bayog,773,005,01,028,06
Bobon,1482,006,01,028,06
Buduan,940,007,01,028,06
Nagsurot,902,008,01,028,06
Paayas,869,009,01,028,06
Pagali,776,010,01,028,06
Poblacion,1468,011,01,028,06
Saoit,739,013,01,028,06
Tanap,683,014,01,028,06
Angset,176,001,01,028,07
Barbaqueso ,812,003,01,028,07
Virbira,619,004,01,028,07
Anggapang Norte,319,001,01,028,08
Anggapang Sur,183,002,01,028,08
Bimmanga,342,003,01,028,08
Cabuusan,327,004,01,028,08
Comcomloong,124,005,01,028,08
Gaang,1287,006,01,028,08
Lang-ayan-Baramban,531,007,01,028,08
Lioes,479,008,01,028,08
Maglaoi Centro,229,009,01,028,08
Maglaoi Norte,658,010,01,028,08
Maglaoi Sur,543,011,01,028,08
Paguludan-Salindeg,296,013,01,028,08
Pangil,541,014,01,028,08
Pias Norte,932,015,01,028,08
Pias Sur,778,016,01,028,08
Poblacion I,673,017,01,028,08
Poblacion II,564,018,01,028,08
Salugan,586,019,01,028,08
San Simeon,284,020,01,028,08
Santa Cruz,356,021,01,028,08
Tapao-Tigue,874,022,01,028,08
Torre,410,023,01,028,08
Victoria,899,024,01,028,08
Albano ,871,001,01,028,09
Bacsil,878,002,01,028,09
Bagut,1062,003,01,028,09
Parado,1563,004,01,028,09
Baresbes,2036,005,01,028,09
Barong,2468,006,01,028,09
Bungcag,578,007,01,028,09
Cali,1343,009,01,028,09
Capasan,732,010,01,028,09
Dancel ,654,011,01,028,09
Foz,915,012,01,028,09
Guerrero ,1496,013,01,028,09
Lanas,1062,014,01,028,09
Lumbad,1079,015,01,028,09
Madamba ,1961,016,01,028,09
Mandaloque,647,017,01,028,09
Medina,1298,018,01,028,09
Ver,1223,019,01,028,09
San Marcelino,4053,020,01,028,09
Puruganan ,868,021,01,028,09
Peralta ,1340,022,01,028,09
Root,807,023,01,028,09
Sagpatan,846,024,01,028,09
Saludares,1473,025,01,028,09
San Esteban,831,026,01,028,09
Espiritu,1030,027,01,028,09
Sulquiano,1478,028,01,028,09
San Francisco,2304,029,01,028,09
Suyo,1404,030,01,028,09
San Marcos,741,031,01,028,09
Elizabeth,1086,032,01,028,09
Cabaritan,448,001,01,028,10
San Isidro,1026,002,01,028,10
Kalaw,644,003,01,028,10
Quibel,969,004,01,028,10
Balioeg,844,001,01,028,11
Bangsar,874,002,01,028,11
Barbarangay,819,003,01,028,11
Bomitog,1276,004,01,028,11
Bugasi,945,005,01,028,11
Caestebanan,836,006,01,028,11
Caribquib,1055,008,01,028,11
Catagtaguen,1318,009,01,028,11
Crispina,955,011,01,028,11
Hilario ,951,012,01,028,11
Imelda,613,013,01,028,11
Lorenzo ,746,014,01,028,11
Macayepyep,1054,015,01,028,11
Marcos ,1048,016,01,028,11
