population,name,city_code,code,province_code,region_code
2189,Adams,10,10,102,10
33496,Bacarra,10,10,102,10
32530,Badoc,10,10,102,10
15019,Bangui,10,10,102,10
10759,Burgos,10,10,102,10
1607,Carasi,10,10,102,10
12215,Currimao,10,10,102,10
40127,Dingras,10,10,102,10
3087,Dumalneg,10,10,102,10
19297,Banna,10,10,102,10
18010,Marcos,10,10,102,10
11968,Nueva Era,10,10,102,10
25098,Pagudpud,10,10,102,10
25001,Paoay,10,10,102,10
29678,Pasuquin,10,10,102,10
22475,Piddig,10,10,102,10
17626,Pinili,10,10,102,10
38895,San Nicolas,10,10,102,10
25186,Sarrat,10,10,102,10
24851,Solsona,10,10,102,10
33339,Vintar,10,10,102,10
7361,Alilem,10,10,102,10
7931,Banayoyo,10,10,102,10
37118,Bantay,10,10,102,10
12793,Burgos,10,10,102,10
38884,Cabugao,10,10,102,10
19574,Caoayan,10,10,102,10
19449,Cervantes,10,10,102,10
10244,Galimuyod,10,10,102,10
4472,Gregorio del Pilar,10,10,102,10
4705,Lidlidda,10,10,102,10
31308,Magsingal,10,10,102,10
5465,Nagbukel,10,10,102,10
46234,Narvacan,10,10,102,10
9306,Quirino,10,10,102,10
11110,Salcedo,10,10,102,10
7206,San Emilio,10,10,102,10
8381,San Esteban,10,10,102,10
8190,San Ildefonso,10,10,102,10
26674,San Juan,10,10,102,10
13118,San Vicente,10,10,102,10
14992,Santa,10,10,102,10
14493,Santa Catalina,10,10,102,10
41366,Santa Cruz,10,10,102,10
25966,Santa Lucia,10,10,102,10
30006,Santa Maria,10,10,102,10
19471,Santiago,10,10,102,10
29041,Santo Domingo,10,10,102,10
2552,Sigay,10,10,102,10
25998,Sinait,10,10,102,10
4930,Sugpon,10,10,102,10
10766,Suyo,10,10,102,10
41538,Tagudin,10,10,102,10
66028,Agoo,10,10,103,10
50380,Aringay,10,10,103,10
44388,Bacnotan,10,10,103,10
14428,Bagulin,10,10,103,10
40339,Balaoan,10,10,103,10
38041,Bangar,10,10,103,10
78449,Bauang,10,10,103,10
9006,Burgos,10,10,103,10
23119,Caba,10,10,103,10
37318,Luna,10,10,103,10
52189,Naguilian,10,10,103,10
19337,Pugo,10,10,103,10
60278,Rosario,10,10,103,10
18943,San Gabriel,10,10,103,10
40507,San Juan,10,10,103,10
40846,Santo Tomas,10,10,103,10
14166,Santol,10,10,103,10
17187,Sudipen,10,10,103,10
31763,Tubao,10,10,103,10
29947,Agno,10,10,105,10
45100,Aguilar,10,10,105,10
48908,Alcala,10,10,105,10
41548,Anda,10,10,105,10
57811,Asingan,10,10,105,10
30004,Balungao,10,10,105,10
52603,Bani,10,10,105,10
37679,Basista,10,10,105,10
35398,Bautista,10,10,105,10
129011,Bayambang,10,10,105,10
56382,Binalonan,10,10,105,10
86881,Binmaley,10,10,105,10
83979,Bolinao,10,10,105,10
74962,Bugallon,10,10,105,10
23749,Burgos,10,10,105,10
100471,Calasiao,10,10,105,10
31355,Dasol,10,10,105,10
26242,Infanta,10,10,105,10
26811,Labrador,10,10,105,10
107728,Lingayen ,10,10,105,10
26454,Mabini,10,10,105,10
143094,Malasiqui,10,10,105,10
76045,Manaoag,10,10,105,10
113185,Mangaldan,10,10,105,10
79323,Mangatarem,10,10,105,10
38058,Mapandan,10,10,105,10
25771,Natividad,10,10,105,10
74729,Pozorrubio,10,10,105,10
66711,Rosales,10,10,105,10
87428,San Fabian,10,10,105,10
44351,San Jacinto,10,10,105,10
54271,San Manuel,10,10,105,10
39778,San Nicolas,10,10,105,10
33980,San Quintin,10,10,105,10
92187,Santa Barbara,10,10,105,10
34220,Santa Maria,10,10,105,10
14878,Santo Tomas,10,10,105,10
52320,Sison,10,10,105,10
39091,Sual,10,10,105,10
45241,Tayug,10,10,105,10
77074,Umingan,10,10,105,10
55557,Urbiztondo,10,10,105,10
65047,Villasis,10,10,105,10
34128,Laoac,10,10,105,10
9517,Basco ,20,20,200,20
3128,Itbayat,20,20,200,20
1407,Ivana,20,20,200,20
1703,Mahatao,20,20,200,20
1696,Sabtang,20,20,200,20
1380,Uyugan,20,20,200,20
34579,Abulug,20,20,201,20
41295,Alcala,20,20,201,20
35234,Allacapan,20,20,201,20
50336,Amulung,20,20,201,20
68839,Aparri,20,20,201,20
87753,Baggao,20,20,201,20
34488,Ballesteros,20,20,201,20
32148,Buguey,20,20,201,20
17410,Calayan,20,20,201,20
25236,Camalaniugan,20,20,201,20
31900,Claveria,20,20,201,20
36705,Enrile,20,20,201,20
58874,Gattaran,20,20,201,20
41680,Gonzaga,20,20,201,20
30060,Iguig,20,20,201,20
48733,Lal-Lo,20,20,201,20
41225,Lasam,20,20,201,20
24781,Pamplona,20,20,201,20
50300,Peñablanca,20,20,201,20
24805,Piat,20,20,201,20
19077,Rizal,20,20,201,20
26164,Sanchez-Mira,20,20,201,20
35688,Santa Ana,20,20,201,20
4434,Santa Praxedes,20,20,201,20
19573,Santa Teresita,20,20,201,20
28537,Santo Niño,20,20,201,20
88445,Solana,20,20,201,20
63970,Tuao,20,20,201,20
73874,Alicia,20,20,203,20
44977,Angadanan,20,20,203,20
36621,Aurora,20,20,203,20
29752,Benito Soliven,20,20,203,20
26040,Burgos,20,20,203,20
53897,Cabagan,20,20,203,20
39990,Cabatuan,20,20,203,20
46477,Cordon,20,20,203,20
5821,Dinapigue,20,20,203,20
5827,Divilacan,20,20,203,20
88410,Echague,20,20,203,20
30655,Gamu,20,20,203,20
45628,Jones,20,20,203,20
20697,Luna,20,20,203,20
3977,Maconacon,20,20,203,20
29928,Delfin Albano,20,20,203,20
32208,Mallig,20,20,203,20
33788,Naguilian,20,20,203,20
17684,Palanan,20,20,203,20
27037,Quezon,20,20,203,20
25023,Quirino,20,20,203,20
56523,Ramon,20,20,203,20
27900,Reina Mercedes,20,20,203,20
65839,Roxas,20,20,203,20
22096,San Agustin,20,20,203,20
20915,San Guillermo,20,20,203,20
27044,San Isidro,20,20,203,20
34085,San Manuel,20,20,203,20
60124,San Mariano,20,20,203,20
66663,San Mateo,20,20,203,20
26320,San Pablo,20,20,203,20
25758,Santa Maria,20,20,203,20
24528,Santo Tomas,20,20,203,20
70743,Tumauini,20,20,203,20
15472,Ambaguio,20,20,205,20
42197,Aritao,20,20,205,20
37985,Bagabag,20,20,205,20
55789,Bambang,20,20,205,20
67714,Bayombong ,20,20,205,20
19236,Diadi,20,20,205,20
33295,Dupax del Norte,20,20,205,20
21224,Dupax del Sur,20,20,205,20
41776,Kasibu,20,20,205,20
26469,Kayapa,20,20,205,20
24055,Quezon,20,20,205,20
18276,Santa Fe,20,20,205,20
65287,Solano,20,20,205,20
20118,Villaverde,20,20,205,20
8539,Alfonso Castaneda,20,20,205,20
30714,Aglipay,20,20,205,20
33533,Cabarroguis ,20,20,205,20
56102,Diffun,20,20,205,20
40943,Maddela,20,20,205,20
17137,Saguday,20,20,205,20
25399,Nagtipunan,20,20,205,20
42984,Abucay,30,30,300,30
31365,Bagac,30,30,300,30
118209,Dinalupihan,30,30,300,30
77443,Hermosa,30,30,300,30
78272,Limay,30,30,300,30
149879,Mariveles,30,30,300,30
35394,Morong,30,30,300,30
70342,Orani,30,30,300,30
60771,Orion,30,30,300,30
46239,Pilar,30,30,300,30
38302,Samal,30,30,300,30
65617,Angat,30,30,301,30
77018,Balagtas,30,30,301,30
141412,Bocaue,30,30,301,30
81232,Bulacan,30,30,301,30
77199,Bustos,30,30,301,30
118471,Calumpit,30,30,301,30
113415,Guiguinto,30,30,301,30
133448,Hagonoy,30,30,301,30
254453,Marilao,30,30,301,30
136064,Norzagaray,30,30,301,30
59978,Obando,30,30,301,30
155115,Pandi,30,30,301,30
55696,Paombong,30,30,301,30
114432,Plaridel,30,30,301,30
108836,Pulilan,30,30,301,30
115713,San Ildefonso,30,30,301,30
172073,San Miguel,30,30,301,30
103097,San Rafael,30,30,301,30
289820,Santa Maria,30,30,301,30
28656,Doña Remedios Trinidad,30,30,301,30
70363,Aliaga,30,30,304,30
66839,Bongabon,30,30,304,30
85862,Cabiao,30,30,304,30
42420,Carranglan,30,30,304,30
68066,Cuyapo,30,30,304,30
38958,Gabaldon,30,30,304,30
44311,General Mamerto Natividad,30,30,304,30
55925,General Tinio,30,30,304,30
127653,Guimba,30,30,304,30
79189,Jaen,30,30,304,30
38263,Laur,30,30,304,30
29269,Licab,30,30,304,30
42281,Llanera,30,30,304,30
45917,Lupao,30,30,304,30
14471,Nampicuan,30,30,304,30
31763,Pantabangan,30,30,304,30
32269,Peñaranda,30,30,304,30
41845,Quezon,30,30,304,30
70196,Rizal,30,30,304,30
83060,San Antonio,30,30,304,30
54372,San Isidro,30,30,304,30
68536,San Leonardo,30,30,304,30
75649,Santa Rosa,30,30,304,30
61092,Santo Domingo,30,30,304,30
132338,Talavera,30,30,304,30
25236,Talugtug,30,30,304,30
53090,Zaragoza,30,30,304,30
117160,Apalit,30,30,305,30
144875,Arayat,30,30,305,30
48066,Bacolor,30,30,305,30
119497,Candaba,30,30,305,30
135542,Floridablanca,30,30,305,30
128893,Guagua,30,30,305,30
173502,Lubao,30,30,305,30
78151,Macabebe,30,30,305,30
124188,Magalang,30,30,305,30
57990,Masantol,30,30,305,30
173403,Mexico,30,30,305,30
48380,Minalin,30,30,305,30
140751,Porac,30,30,305,30
58551,San Luis,30,30,305,30
59182,San Simon,30,30,305,30
61537,Santa Ana,30,30,305,30
48209,Santa Rita,30,30,305,30
42846,Sto. Tomas,30,30,305,30
29076,Sasmuan,30,30,305,30
12208,Anao,30,30,306,30
78260,Bamban,30,30,306,30
87319,Camiling,30,30,306,30
156056,Capas,30,30,306,30
169953,Concepcion,30,30,306,30
94485,Gerona,30,30,306,30
68952,La Paz,30,30,306,30
32597,Mayantoc,30,30,306,30
62819,Moncada,30,30,306,30
103003,Paniqui,30,30,306,30
25781,Pura,30,30,306,30
22879,Ramos,30,30,306,30
13181,San Clemente,30,30,306,30
28387,San Manuel,30,30,306,30
51626,Santa Ignacia,30,30,306,30
69370,Victoria,30,30,306,30
41182,San Jose,30,30,306,30
66739,Botolan,30,30,307,30
28118,Cabangan,30,30,307,30
30263,Candelaria,30,30,307,30
67889,Castillejos,30,30,307,30
55581,Iba ,30,30,307,30
54529,Masinloc,30,30,307,30
39784,Palauig,30,30,307,30
37450,San Antonio,30,30,307,30
25033,San Felipe,30,30,307,30
37719,San Marcelino,30,30,307,30
30759,San Narciso,30,30,307,30
63839,Santa Cruz,30,30,307,30
111912,Subic,30,30,307,30
43785,Baler ,30,30,307,30
26564,Casiguran,30,30,307,30
17102,Dilasag,30,30,307,30
12508,Dinalungan,30,30,307,30
27878,Dingalan,30,30,307,30
33131,Dipaculao,30,30,307,30
44958,Maria Aurora,30,30,307,30
29824,San Luis,30,30,307,30
39101,Agoncillo,40,40,401,40
