name,population,code,province_code,region_code
Adams,2189,01,028,01
Bacarra,33496,02,028,01
Badoc,32530,03,028,01
Bangui,15019,04,028,01
Burgos,10759,06,028,01
Carasi,1607,07,028,01
Currimao,12215,08,028,01
Dingras,40127,09,028,01
Dumalneg,3087,10,028,01
Banna,19297,11,028,01
Marcos,18010,13,028,01
Nueva Era,11968,14,028,01
Pagudpud,25098,15,028,01
Paoay,25001,16,028,01
Pasuquin,29678,17,028,01
Piddig,22475,18,028,01
Pinili,17626,19,028,01
San Nicolas,38895,20,028,01
Sarrat,25186,21,028,01
Solsona,24851,22,028,01
Vintar,33339,23,028,01
Alilem,7361,01,029,01
Banayoyo,7931,02,029,01
Bantay,37118,03,029,01
Burgos,12793,04,029,01
Cabugao,38884,05,029,01
Caoayan,19574,07,029,01
Cervantes,19449,08,029,01
Galimuyod,10244,09,029,01
Gregorio del Pilar,4472,10,029,01
Lidlidda,4705,11,029,01
Magsingal,31308,12,029,01
Nagbukel,5465,13,029,01
Narvacan,46234,14,029,01
Quirino,9306,15,029,01
Salcedo,11110,16,029,01
San Emilio,7206,17,029,01
San Esteban,8381,18,029,01
San Ildefonso,8190,19,029,01
San Juan,26674,20,029,01
San Vicente,13118,21,029,01
Santa,14992,22,029,01
Santa Catalina,14493,23,029,01
Santa Cruz,41366,24,029,01
Santa Lucia,25966,25,029,01
Santa Maria,30006,26,029,01
Santiago,19471,27,029,01
Santo Domingo,29041,28,029,01
Sigay,2552,29,029,01
Sinait,25998,30,029,01
Sugpon,4930,31,029,01
Suyo,10766,32,029,01
Tagudin,41538,33,029,01
Agoo,66028,01,033,01
Aringay,50380,02,033,01
Bacnotan,44388,03,033,01
Bagulin,14428,04,033,01
Balaoan,40339,05,033,01
Bangar,38041,06,033,01
Bauang,78449,07,033,01
Burgos,9006,08,033,01
Caba,23119,09,033,01
Luna,37318,10,033,01
Naguilian,52189,11,033,01
Pugo,19337,12,033,01
Rosario,60278,13,033,01
San Gabriel,18943,15,033,01
