population,name,code
5301139,Region I (Ilocos Region),10
3685744,Region II (Cagayan Valley),20
12422172,Region III (Central Luzon),30
16195042,Region IV-A (CALABARZON),40
3228558,MIMAROPA Region,17
6082165,Region V (Bicol Region),50
7954723,Region VI (Western Visayas),60
8081988,Region VII (Central Visayas),70
4547150,Region VIII (Eastern Visayas),80
3875576,Region IX (Zamboanga Peninsula),90
5022768,Region X (Northern Mindanao),10
5243536,Region XI (Davao Region),11
4901486,Region XII (SOCCSKSARGEN),12
13484462,National Capital Region (NCR),13
1797660,Cordillera Administrative Region (CAR),14
2804788,Region XIII (Caraga),16
4404288,Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),19
