name,population,code
Region I (Ilocos Region),5301139,01
Region II (Cagayan Valley),3685744,02
Region III (Central Luzon),12422172,03
Region IV-A (CALABARZON),16195042,04
MIMAROPA Region,3228558,17
Region V (Bicol Region),6082165,05
Region VI (Western Visayas),7954723,06
Region VII (Central Visayas),8081988,07
Region VIII (Eastern Visayas),4547150,08
Region IX (Zamboanga Peninsula),3875576,09
Region X (Northern Mindanao),5022768,10
Region XI (Davao Region),5243536,11
Region XII (SOCCSKSARGEN),4901486,12
National Capital Region (NCR),13484462,13
Cordillera Administrative Region (CAR),1797660,14
Region XIII (Caraga),2804788,16
Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),4404288,19
