Name,2020 Population,code,region_code,province_code,municipality_code,barangay_code
Adams,2189,1.0,10,102,10,1.0
Bani,1079,1.0,10,102,10,1.0
Buyon,1669,2.0,10,102,10,2.0
Cabaruan,1418,3.0,10,102,10,3.0
Cabulalaan,733,4.0,10,102,10,4.0
Cabusligan,1170,5.0,10,102,10,5.0
Cadaratan,1212,6.0,10,102,10,6.0
Calioet-Libong,827,7.0,10,102,10,7.0
Casilian,1061,8.0,10,102,10,8.0
Corocor,867,9.0,10,102,10,9.0
Duripes,1036,1.0,10,102,10,1.0
Ganagan,701,2.0,10,102,10,2.0
Libtong,1620,3.0,10,102,10,3.0
Macupit,647,4.0,10,102,10,4.0
Nambaran,1004,5.0,10,102,10,5.0
Natba,560,6.0,10,102,10,6.0
Paninaan,435,7.0,10,102,10,7.0
Pasiocan,1209,8.0,10,102,10,8.0
Pasngal,799,9.0,10,102,10,9.0
Pipias,1047,0.0,10,102,10,0.0
Pulangi,1091,1.0,10,102,10,1.0
Pungto,554,2.0,10,102,10,2.0
San Agustin I ,544,4.0,10,102,10,4.0
San Agustin II ,281,5.0,10,102,10,5.0
San Andres I ,796,7.0,10,102,10,7.0
San Andres II ,724,8.0,10,102,10,8.0
San Gabriel I ,294,0.0,10,102,10,0.0
San Gabriel II ,406,1.0,10,102,10,1.0
San Pedro I ,393,3.0,10,102,10,3.0
San Pedro II ,585,4.0,10,102,10,4.0
San Roque I ,530,6.0,10,102,10,6.0
San Roque II ,399,7.0,10,102,10,7.0
San Simon I ,637,9.0,10,102,10,9.0
San Simon II ,341,0.0,10,102,10,0.0
San Vicente ,723,1.0,10,102,10,1.0
Sangil,1097,2.0,10,102,10,2.0
Santa Filomena I ,276,4.0,10,102,10,4.0
Santa Filomena II ,344,5.0,10,102,10,5.0
Santa Rita ,1119,6.0,10,102,10,6.0
Santo Cristo I ,422,7.0,10,102,10,7.0
Santo Cristo II ,459,8.0,10,102,10,8.0
Tambidao,813,0.0,10,102,10,0.0
Teppang,706,1.0,10,102,10,1.0
Tubburan,868,2.0,10,102,10,2.0
Alay-Nangbabaan,1090,1.0,10,102,10,1.0
Alogoog,974,2.0,10,102,10,2.0
Ar-arusip,808,3.0,10,102,10,3.0
Aring,1362,4.0,10,102,10,4.0
Balbaldez,302,5.0,10,102,10,5.0
Bato,996,6.0,10,102,10,6.0
Camanga,1213,7.0,10,102,10,7.0
Canaan ,603,8.0,10,102,10,8.0
Caraitan,1391,9.0,10,102,10,9.0
Gabut Norte,1680,1.0,10,102,10,1.0
Gabut Sur,894,2.0,10,102,10,2.0
Garreta ,1383,3.0,10,102,10,3.0
Labut,848,6.0,10,102,10,6.0
Lacuben,1703,7.0,10,102,10,7.0
Lubigan,1381,8.0,10,102,10,8.0
Mabusag Norte,1125,0.0,10,102,10,0.0
Mabusag Sur,1135,1.0,10,102,10,1.0
Madupayas,848,2.0,10,102,10,2.0
Morong,892,3.0,10,102,10,3.0
Nagrebcan,528,5.0,10,102,10,5.0
Napu,1514,6.0,10,102,10,6.0
La Virgen Milagrosa,1095,7.0,10,102,10,7.0
Pagsanahan Norte,1170,8.0,10,102,10,8.0
Pagsanahan Sur,1412,9.0,10,102,10,9.0
Paltit,1589,0.0,10,102,10,0.0
Parang,438,1.0,10,102,10,1.0
Pasuc,505,2.0,10,102,10,2.0
Santa Cruz Norte,916,4.0,10,102,10,4.0
Santa Cruz Sur,702,5.0,10,102,10,5.0
Saud,1325,6.0,10,102,10,6.0
Turod,708,7.0,10,102,10,7.0
Abaca,1842,1.0,10,102,10,1.0
Bacsil,683,2.0,10,102,10,2.0
Banban,777,3.0,10,102,10,3.0
Baruyen,1742,4.0,10,102,10,4.0
Dadaor,405,5.0,10,102,10,5.0
Lanao,2017,6.0,10,102,10,6.0
Malasin,1028,7.0,10,102,10,7.0
Manayon,997,8.0,10,102,10,8.0
Masikil,649,9.0,10,102,10,9.0
Nagbalagan,707,0.0,10,102,10,0.0
Payac,781,1.0,10,102,10,1.0
San Lorenzo ,2261,2.0,10,102,10,2.0
Taguiporo,491,4.0,10,102,10,4.0
Utol,639,5.0,10,102,10,5.0
Aglipay ,1059,1.0,10,102,10,1.0
Baay,3241,2.0,10,102,10,2.0
Baligat,1923,3.0,10,102,10,3.0
Bungon,1546,4.0,10,102,10,4.0
Baoa East,747,5.0,10,102,10,5.0
Baoa West,1404,6.0,10,102,10,6.0
Barani ,636,7.0,10,102,10,7.0
Ben-agan ,714,9.0,10,102,10,9.0
Bil-loca,2780,0.0,10,102,10,0.0
Biningan,468,1.0,10,102,10,1.0
Callaguip ,832,2.0,10,102,10,2.0
Camandingan,1506,3.0,10,102,10,3.0
Camguidan,522,4.0,10,102,10,4.0
Cangrunaan ,721,5.0,10,102,10,5.0
Capacuan,727,6.0,10,102,10,6.0
Caunayan ,1105,7.0,10,102,10,7.0
Valdez Pob.,808,8.0,10,102,10,8.0
Colo,1432,9.0,10,102,10,9.0
Pimentel,1166,0.0,10,102,10,0.0
Dariwdiw,2053,1.0,10,102,10,1.0
Acosta Pob.,1058,2.0,10,102,10,2.0
Ablan Pob.,740,3.0,10,102,10,3.0
Lacub ,422,4.0,10,102,10,4.0
Mabaleng,1162,5.0,10,102,10,5.0
Magnuang,2196,6.0,10,102,10,6.0
Maipalig,456,7.0,10,102,10,7.0
Nagbacalan,1085,8.0,10,102,10,8.0
Naguirangan,1615,9.0,10,102,10,9.0
Ricarte Pob.,765,0.0,10,102,10,0.0
Palongpong,1867,1.0,10,102,10,1.0
Palpalicong ,828,2.0,10,102,10,2.0
Parangopong,1253,3.0,10,102,10,3.0
Payao,1457,4.0,10,102,10,4.0
Quiling Norte,1528,5.0,10,102,10,5.0
Quiling Sur,3267,6.0,10,102,10,6.0
Quiom,884,7.0,10,102,10,7.0
Rayuray,1062,8.0,10,102,10,8.0
San Julian ,465,9.0,10,102,10,9.0
San Mateo,1135,0.0,10,102,10,0.0
San Pedro,898,1.0,10,102,10,1.0
Suabit ,1209,2.0,10,102,10,2.0
Sumader,1387,3.0,10,102,10,3.0
Tabug,3355,4.0,10,102,10,4.0
Ablan Sarat,1518,1.0,10,102,10,1.0
Agaga,609,2.0,10,102,10,2.0
Bayog,773,5.0,10,102,10,5.0
Bobon,1482,6.0,10,102,10,6.0
Buduan,940,7.0,10,102,10,7.0
Nagsurot,902,8.0,10,102,10,8.0
Paayas,869,9.0,10,102,10,9.0
Pagali,776,0.0,10,102,10,0.0
Poblacion,1468,1.0,10,102,10,1.0
Saoit,739,3.0,10,102,10,3.0
Tanap,683,4.0,10,102,10,4.0
Angset,176,1.0,10,102,10,1.0
Barbaqueso ,812,3.0,10,102,10,3.0
