Name,2020 Population,city_code,code,region_code,province_code
City of Batac,55484,10,10,10,102
City of Laoag ,111651,10,10,10,102
City of Candon,61432,10,10,10,102
City of Vigan ,53935,10,10,10,102
City of San Fernando ,125640,10,10,10,103
City of Alaminos,99397,10,10,10,105
City of Dagupan,174302,10,10,10,105
City of San Carlos,205424,10,10,10,105
City of Urdaneta,144577,10,10,10,105
Tuguegarao City ,166334,20,20,20,201
City of Cauayan,143403,20,20,20,203
City of Ilagan ,158218,20,20,20,203
City of Santiago,148580,20,20,20,203
City of Balanga ,104173,30,30,30,300
City of Baliwag,168470,30,30,30,301
City of Malolos ,261189,30,30,30,301
City of Meycauayan,225673,30,30,30,301
City of San Jose Del Monte,651813,30,30,30,301
City of Cabanatuan,327325,30,30,30,304
City of Gapan,122968,30,30,30,304
Science City of Muñoz,84308,30,30,30,304
City of Palayan ,45383,30,30,30,304
San Jose City,150917,30,30,30,304
City of Angeles,462928,33,33,33,330
Mabalacat City,293244,30,30,30,305
City of San Fernando ,354666,30,30,30,305
City of Tarlac ,385398,30,30,30,306
City of Olongapo,260317,33,33,33,331
Batangas City ,351437,40,40,40,401
City of Calaca,87361,40,40,40,401
City of Lipa,372931,40,40,40,401
City of Sto. Tomas,218500,40,40,40,401
City of Tanauan,193936,40,40,40,401
City of Bacoor,664625,40,40,40,402
City of Cavite,100674,40,40,40,402
City of Dasmariñas,703141,40,40,40,402
City of General Trias,450583,40,40,40,402
City of Imus,496794,40,40,40,402
City of Tagaytay,85330,40,40,40,402
City of Trece Martires ,210503,40,40,40,402
City of Biñan,407437,40,40,40,403
City of Cabuyao,355330,40,40,40,403
City of Calamba,539671,40,40,40,403
City of San Pablo,285348,40,40,40,403
City of San Pedro,326001,40,40,40,403
City of Santa Rosa,414812,40,40,40,403
City of Lucena ,278924,43,43,43,431
City of Tayabas,112658,40,40,40,405
City of Antipolo ,887399,40,40,40,405
City of Calapan ,145786,17,17,17,170
City of Puerto Princesa ,307079,17,17,17,173
City of Legazpi ,209533,50,50,50,500
City of Ligao,118096,50,50,50,500
City of Tabaco,140961,50,50,50,500
City of Iriga,114457,50,50,50,501
City of Naga,209170,50,50,50,501
City of Masbate ,104522,50,50,50,504
City of Sorsogon ,182237,50,50,50,506
City of Roxas ,179292,60,60,60,601
City of Iloilo ,457626,63,63,63,631
City of Passi,88873,60,60,60,603
City of Bacolod ,600783,63,63,63,630
City of Bago,191210,60,60,60,604
City of Cadiz,158544,60,60,60,604
City of Escalante,96159,60,60,60,604
City of Himamaylan,116240,60,60,60,604
City of Kabankalan,200198,60,60,60,604
City of La Carlota,66664,60,60,60,604
City of Sagay,148894,60,60,60,604
City of San Carlos,132650,60,60,60,604
City of Silay,130478,60,60,60,604
City of Sipalay,72448,60,60,60,604
City of Talisay,108909,60,60,60,604
City of Victorias,90101,60,60,60,604
City of Tagbilaran ,104976,70,70,70,701
City of Bogo,88867,70,70,70,702
City of Carcar,136453,70,70,70,702
City of Cebu ,964169,73,73,73,730
Danao City,156321,70,70,70,702
City of Lapu-Lapu,497604,73,73,73,731
City of Mandaue,364116,73,73,73,731
City of Naga,133184,70,70,70,702
City of Talisay,263048,70,70,70,702
City of Toledo,207314,70,70,70,702
City of Bais,84317,70,70,70,704
City of Bayawan,122747,70,70,70,704
City of Canlaon,58822,70,70,70,704
City of Dumaguete ,134103,70,70,70,704
City of Guihulngan,102656,70,70,70,704
City of Tanjay,82642,70,70,70,704
City of Borongan ,71961,80,80,80,802
City of Baybay,111848,80,80,80,803
Ormoc City,230998,80,80,80,803
City of Tacloban ,251881,83,83,83,831
City of Calbayog,186960,80,80,80,806
City of Catbalogan ,106440,80,80,80,806
