10-digit PSGC,2020 Population,population,name,city_code,code,region_code,province_code
102801000.0,2189,2189,Adams,10,10,10,102
102802000.0,33496,33496,Bacarra,10,10,10,102
102803000.0,32530,32530,Badoc,10,10,10,102
102804000.0,15019,15019,Bangui,10,10,10,102
102806000.0,10759,10759,Burgos,10,10,10,102
102807000.0,1607,1607,Carasi,10,10,10,102
102808000.0,12215,12215,Currimao,10,10,10,102
102809000.0,40127,40127,Dingras,10,10,10,102
102810000.0,3087,3087,Dumalneg,10,10,10,102
102811000.0,19297,19297,Banna,10,10,10,102
102813000.0,18010,18010,Marcos,10,10,10,102
102814000.0,11968,11968,Nueva Era,10,10,10,102
102815000.0,25098,25098,Pagudpud,10,10,10,102
102816000.0,25001,25001,Paoay,10,10,10,102
102817000.0,29678,29678,Pasuquin,10,10,10,102
102818000.0,22475,22475,Piddig,10,10,10,102
102819000.0,17626,17626,Pinili,10,10,10,102
102820000.0,38895,38895,San Nicolas,10,10,10,102
102821000.0,25186,25186,Sarrat,10,10,10,102
102822000.0,24851,24851,Solsona,10,10,10,102
102823000.0,33339,33339,Vintar,10,10,10,102
102901000.0,7361,7361,Alilem,10,10,10,102
102902000.0,7931,7931,Banayoyo,10,10,10,102
102903000.0,37118,37118,Bantay,10,10,10,102
102904000.0,12793,12793,Burgos,10,10,10,102
102905000.0,38884,38884,Cabugao,10,10,10,102
102907000.0,19574,19574,Caoayan,10,10,10,102
102908000.0,19449,19449,Cervantes,10,10,10,102
102909000.0,10244,10244,Galimuyod,10,10,10,102
102910000.0,4472,4472,Gregorio del Pilar,10,10,10,102
102911000.0,4705,4705,Lidlidda,10,10,10,102
102912000.0,31308,31308,Magsingal,10,10,10,102
102913000.0,5465,5465,Nagbukel,10,10,10,102
102914000.0,46234,46234,Narvacan,10,10,10,102
102915000.0,9306,9306,Quirino,10,10,10,102
102916000.0,11110,11110,Salcedo,10,10,10,102
102917000.0,7206,7206,San Emilio,10,10,10,102
102918000.0,8381,8381,San Esteban,10,10,10,102
102919000.0,8190,8190,San Ildefonso,10,10,10,102
102920000.0,26674,26674,San Juan,10,10,10,102
102921000.0,13118,13118,San Vicente,10,10,10,102
102922000.0,14992,14992,Santa,10,10,10,102
102923000.0,14493,14493,Santa Catalina,10,10,10,102
102924000.0,41366,41366,Santa Cruz,10,10,10,102
102925000.0,25966,25966,Santa Lucia,10,10,10,102
102926000.0,30006,30006,Santa Maria,10,10,10,102
102927000.0,19471,19471,Santiago,10,10,10,102
102928000.0,29041,29041,Santo Domingo,10,10,10,102
102929000.0,2552,2552,Sigay,10,10,10,102
102930000.0,25998,25998,Sinait,10,10,10,102
102931000.0,4930,4930,Sugpon,10,10,10,102
