10-digit PSGC,Name,Correspondence Code,Geographic Level,2020 Population,Status
100000000.0,Region I (Ilocos Region),10000000.0,Reg,5301139,
102800000.0,Ilocos Norte,12800000.0,Prov,609588,
102801000.0,Adams,12801000.0,Mun,2189,
102801001.0,Adams,12801001.0,Bgy,2189,Pob.
102802000.0,Bacarra,12802000.0,Mun,33496,
102802001.0,Bani,12802001.0,Bgy,1079,
102802002.0,Buyon,12802002.0,Bgy,1669,
102802003.0,Cabaruan,12802003.0,Bgy,1418,
102802004.0,Cabulalaan,12802004.0,Bgy,733,
102802005.0,Cabusligan,12802005.0,Bgy,1170,
102802006.0,Cadaratan,12802006.0,Bgy,1212,
102802007.0,Calioet-Libong,12802007.0,Bgy,827,
102802008.0,Casilian,12802008.0,Bgy,1061,
102802009.0,Corocor,12802009.0,Bgy,867,
102802011.0,Duripes,12802011.0,Bgy,1036,
102802012.0,Ganagan,12802012.0,Bgy,701,
102802013.0,Libtong,12802013.0,Bgy,1620,
102802014.0,Macupit,12802014.0,Bgy,647,
102802015.0,Nambaran,12802015.0,Bgy,1004,
102802016.0,Natba,12802016.0,Bgy,560,
102802017.0,Paninaan,12802017.0,Bgy,435,
102802018.0,Pasiocan,12802018.0,Bgy,1209,
102802019.0,Pasngal,12802019.0,Bgy,799,
102802020.0,Pipias,12802020.0,Bgy,1047,
102802021.0,Pulangi,12802021.0,Bgy,1091,
102802022.0,Pungto,12802022.0,Bgy,554,
102802024.0,San Agustin I ,12802024.0,Bgy,544,Pob.
102802025.0,San Agustin II ,12802025.0,Bgy,281,Pob.
102802027.0,San Andres I ,12802027.0,Bgy,796,Pob.
102802028.0,San Andres II ,12802028.0,Bgy,724,Pob.
102802030.0,San Gabriel I ,12802030.0,Bgy,294,Pob.
102802031.0,San Gabriel II ,12802031.0,Bgy,406,Pob.
102802033.0,San Pedro I ,12802033.0,Bgy,393,Pob.
102802034.0,San Pedro II ,12802034.0,Bgy,585,Pob.
102802036.0,San Roque I ,12802036.0,Bgy,530,Pob.
102802037.0,San Roque II ,12802037.0,Bgy,399,Pob.
